종목코드,종목명,날짜,시가,종가,고가,저가,거래량,상장주식수,PBR
000670,영풍,20230102,610000.0,584000.0,610000.0,583000.0,3023.0,1842040,0.14
000670,영풍,20230103,578000.0,583000.0,588000.0,563000.0,4334.0,1842040,0.14
000670,영풍,20230104,577000.0,613000.0,621000.0,571000.0,6614.0,1842040,0.14
000670,영풍,20230105,613000.0,610000.0,615000.0,594000.0,2997.0,1842040,0.14
000670,영풍,20230106,600000.0,610000.0,615000.0,600000.0,1930.0,1842040,0.14
000670,영풍,20230109,619000.0,624000.0,627000.0,613000.0,2222.0,1842040,0.14
000670,영풍,20230110,622000.0,620000.0,628000.0,618000.0,2150.0,1842040,0.14
000670,영풍,20230111,620000.0,615000.0,621000.0,611000.0,2442.0,1842040,0.14
000670,영풍,20230112,618000.0,617000.0,624000.0,614000.0,3249.0,1842040,0.14
000670,영풍,20230113,618000.0,628000.0,628000.0,616000.0,3519.0,1842040,0.14
000670,영풍,20230116,630000.0,634000.0,641000.0,625000.0,2837.0,1842040,0.14
000670,영풍,20230117,635000.0,617000.0,635000.0,617000.0,2433.0,1842040,0.14
000670,영풍,20230118,619000.0,634000.0,635000.0,615000.0,3565.0,1842040,0.14
000670,영풍,20230119,627000.0,628000.0,633000.0,627000.0,1618.0,1842040,0.14
000670,영풍,20230120,625000.0,640000.0,641000.0,625000.0,2699.0,1842040,0.14
000670,영풍,20230125,642000.0,634000.0,645000.0,630000.0,2633.0,1842040,0.14
000670,영풍,20230126,631000.0,641000.0,642000.0,629000.0,2015.0,1842040,0.14
000670,영풍,20230127,638000.0,650000.0,653000.0,636000.0,2816.0,1842040,0.14
000670,영풍,20230130,648000.0,633000.0,648000.0,633000.0,2937.0,1842040,0.14
000670,영풍,20230131,631000.0,625000.0,635000.0,622000.0,2666.0,1842040,0.14
000670,영풍,20230201,628000.0,626000.0,630000.0,625000.0,1541.0,1842040,0.14
000670,영풍,20230202,627000.0,632000.0,637000.0,625000.0,2651.0,1842040,0.14
000670,영풍,20230203,628000.0,619000.0,628000.0,619000.0,2701.0,1842040,0.14
000670,영풍,20230206,620000.0,617000.0,624000.0,613000.0,2631.0,1842040,0.14
000670,영풍,20230207,615000.0,622000.0,622000.0,613000.0,1974.0,1842040,0.14
000670,영풍,20230208,622000.0,634000.0,642000.0,622000.0,3211.0,1842040,0.14
000670,영풍,20230209,633000.0,628000.0,638000.0,622000.0,2785.0,1842040,0.14
000670,영풍,20230210,626000.0,626000.0,628000.0,619000.0,2525.0,1842040,0.14
000670,영풍,20230213,623000.0,624000.0,628000.0,618000.0,1856.0,1842040,0.14
000670,영풍,20230214,628000.0,620000.0,634000.0,619000.0,2322.0,1842040,0.14
000670,영풍,20230215,624000.0,620000.0,636000.0,618000.0,3706.0,1842040,0.14
000670,영풍,20230216,623000.0,635000.0,638000.0,623000.0,2249.0,1842040,0.14
000670,영풍,20230217,631000.0,663000.0,680000.0,625000.0,11286.0,1842040,0.14
000670,영풍,20230220,672000.0,659000.0,676000.0,652000.0,5615.0,1842040,0.14
000670,영풍,20230221,659000.0,657000.0,666000.0,648000.0,4050.0,1842040,0.14
000670,영풍,20230222,648000.0,642000.0,651000.0,635000.0,5010.0,1842040,0.14
000670,영풍,20230223,640000.0,640000.0,646000.0,634000.0,2425.0,1842040,0.14
000670,영풍,20230224,639000.0,640000.0,650000.0,634000.0,2947.0,1842040,0.14
000670,영풍,20230227,635000.0,617000.0,635000.0,617000.0,4577.0,1842040,0.14
000670,영풍,20230228,623000.0,623000.0,626000.0,618000.0,3174.0,1842040,0.14
000670,영풍,20230302,626000.0,634000.0,651000.0,622000.0,5180.0,1842040,0.14
000670,영풍,20230303,635000.0,627000.0,637000.0,624000.0,2312.0,1842040,0.14
000670,영풍,20230306,631000.0,628000.0,633000.0,621000.0,2739.0,1842040,0.14
